id,lon,lat,name,address,pname,cityname,business_area,type
B023B0AAU9,120.127114,30.266162,三维网球俱乐部,玉古路165号(黄龙体育中心地铁站D口步行240米),浙江省,杭州市,黄龙,体育休闲服务;运动场馆;运动场所
B023B0BGND,120.163085,30.311932,乐动力城北体育公园·三锐网球中心,白石路125号杭州城北体育公园,浙江省,杭州市,东新,体育休闲服务;运动场馆;网球场
B023B17WLG,120.136147,30.185686,江南体育中心六和公园网球场,六和路368号,浙江省,杭州市,浦沿,体育休闲服务;运动场馆;网球场
B023B18LLI,120.157831,30.322231,浙大城市学院南校区网球场,湖州街51号浙大城市学院南校区(沈半路口),浙江省,杭州市,上塘,体育休闲服务;运动场馆;网球场
B023B1EEYD,120.127081,30.266675,浙江大学玉泉校区网球中心,浙大路38号浙江大学玉泉校区,浙江省,杭州市,西湖,体育休闲服务;运动场馆;网球场
B0FFF2JVC7,120.222713,30.256156,乐动力上城体育中心网球馆,钱潮路12号,浙江省,杭州市,新城片区,体育休闲服务;运动场馆;网球场|体育休闲服务;运动场馆;健身中心
B0FFFCMNZI,120.051387,30.277566,杭州西溪宾馆健身中心网球场,文二西路803号杭州西溪宾馆,浙江省,杭州市,西溪,体育休闲服务;运动场馆;网球场
B0FFFDX19G,120.129649,30.249929,金溪山庄网球场,杨公堤39号杭州金溪山庄1层,浙江省,杭州市,西湖,体育休闲服务;运动场馆;网球场
B0FFFEFYT2,120.383942,30.307535,浙江工商大学下沙校区网球场,学正街浙江工商大学,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0FFFLJBWX,120.380688,30.321470,浙江金融职业学院网球场,文海南路与德胜东路交叉口东南160米,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0FFFZYBL3,120.083607,30.303657,浙江大学(紫金港校区)网球场,余杭塘路866号浙江大学(紫金港校区),浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
B0FFFZYCMC,120.154850,30.320883,浙大城市学院南校区网球场(舟山东路),湖州街51号浙大城市学院南校区,浙江省,杭州市,上塘,体育休闲服务;运动场馆;网球场
B0FFG8VL85,120.066869,30.135081,凤凰创意国际网球场,转塘镇创意路1号,浙江省,杭州市,[],体育休闲服务;运动场馆;网球场
